#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,Date
1,USA,9644712,77169.0,237970.0,978.0,6205691.0,34289.0,3201051.0,17600.0,29080,718.0,150614295.0,454117.0,331663944,North America,34,1394.0,2.0,11/03/2020
2,India,8312947,46033.0,123650.0,511.0,7654757.0,53328.0,534540.0,8944.0,6004,89.0,111789350.0,80737.0,1384604543,Asia,167,11198.0,12.0,11/03/2020
3,Brazil,5566049,11843.0,160496.0,224.0,5028216.0,47274.0,377337.0,8318.0,26123,753.0,21900000.0,102781.0,213073428,South America,38,1328.0,10.0,11/03/2020
4,Russia,1673686,18648.0,28828.0,355.0,1251364.0,15331.0,393494.0,2300.0,11467,198.0,61954566.0,424475.0,145955918,Europe,87,5063.0,2.0,11/03/2020
5,France,1502763,36330.0,38289.0,854.0,120714.0,1610.0,1343760.0,3878.0,23005,586.0,16718098.0,255930.0,65322933,Europe,43,1706.0,4.0,11/03/2020
6,Spain,1331756,18669.0,36495.0,238.0,,,,2754.0,28480,780.0,18072174.0,386480.0,46760988,Europe,35,1281.0,3.0,11/03/2020
7,Argentina,1183131,,31623.0,,998016.0,,153492.0,4922.0,26097,698.0,3047313.0,67215.0,45336503,South America,38,1434.0,15.0,11/03/2020
8,Colombia,1099392,6136.0,31847.0,177.0,993877.0,8081.0,73668.0,2376.0,21529,624.0,5164329.0,101129.0,51066585,South America,46,1603.0,10.0,11/03/2020
9,UK,1073882,20018.0,47250.0,397.0,,,,1075.0,15791,695.0,34634393.0,509272.0,68007595,Europe,63,1439.0,2.0,11/03/2020
10,Mexico,933155,3763.0,92100.0,205.0,687420.0,5376.0,153635.0,2838.0,7212,712.0,2414882.0,18663.0,129391657,North America,139,1405.0,54.0,11/03/2020
11,Peru,908902,2357.0,34623.0,38.0,832929.0,2317.0,41350.0,1023.0,27437,1045.0,4568349.0,137905.0,33126781,South America,36,957.0,7.0,11/03/2020
12,Italy,759829,28244.0,39412.0,353.0,302275.0,6258.0,418142.0,2225.0,12573,652.0,16285936.0,269495.0,60431276,Europe,80,1533.0,4.0,11/03/2020
13,South Africa,728836,1241.0,19539.0,74.0,659259.0,1759.0,50038.0,546.0,12237,328.0,4868610.0,81741.0,59561343,Africa,82,3048.0,12.0,11/03/2020
14,Iran,637712,8932.0,36160.0,422.0,495473.0,4226.0,106079.0,5378.0,7560,429.0,5036633.0,59707.0,84356102,Asia,132,2333.0,17.0,11/03/2020
15,Germany,577131,16545.0,10883.0,149.0,371500.0,8300.0,194748.0,2388.0,6881,130.0,21882967.0,260898.0,83875505,Europe,145,7707.0,4.0,11/03/2020
16,Chile,514202,1014.0,14319.0,17.0,490820.0,1295.0,9063.0,727.0,26821,747.0,4409827.0,230015.0,19171923,South America,37,1339.0,4.0,11/03/2020
17,Iraq,482296,3595.0,11068.0,51.0,408756.0,2979.0,62472.0,445.0,11902,273.0,2912818.0,71880.0,40523567,Asia,84,3661.0,14.0,11/03/2020
18,Belgium,447355,6337.0,11858.0,121.0,25999.0,180.0,409498.0,1302.0,38542,1022.0,5041257.0,434335.0,11606838,Europe,26,979.0,2.0,11/03/2020
19,Indonesia,418375,2973.0,14146.0,102.0,349497.0,3931.0,54732.0,,1524,52.0,4567608.0,16640.0,274503367,Asia,656,19405.0,60.0,11/03/2020
20,Poland,414844,19364.0,6102.0,227.0,159986.0,5573.0,248756.0,1550.0,10965,161.0,4894181.0,129365.0,37832373,Europe,91,6200.0,8.0,11/03/2020
21,Bangladesh,412647,1659.0,5983.0,17.0,329787.0,1886.0,76877.0,,2497,36.0,2375763.0,14377.0,165245598,Asia,400,27619.0,70.0,11/03/2020
22,Ukraine,411093,8899.0,7532.0,157.0,168868.0,5100.0,234693.0,177.0,9419,173.0,3312549.0,75901.0,43643018,Europe,106,5794.0,13.0,11/03/2020
23,Philippines,387161,1772.0,7318.0,49.0,348967.0,153.0,30876.0,1483.0,3517,66.0,4867879.0,44224.0,110073432,Asia,284,15041.0,23.0,11/03/2020
24,Turkey,382118,2343.0,10481.0,79.0,328824.0,1817.0,42813.0,2386.0,4514,124.0,14410507.0,170244.0,84646413,Asia,222,8076.0,6.0,11/03/2020
25,Netherlands,375890,7743.0,7576.0,113.0,,,,629.0,21921,442.0,3327701.0,194059.0,17147845,Europe,46,2263.0,5.0,11/03/2020
26,Czechia,357699,6803.0,3859.0,205.0,171438.0,830.0,182402.0,1156.0,33381,360.0,2379128.0,222021.0,10715782,Europe,30,2777.0,5.0,11/03/2020
27,Saudi Arabia,348510,473.0,5456.0,19.0,335153.0,481.0,7901.0,749.0,9958,156.0,8151353.0,232920.0,34996366,Asia,100,6414.0,4.0,11/03/2020
28,Pakistan,336260,1167.0,6849.0,14.0,315446.0,430.0,13965.0,728.0,1512,31.0,4514827.0,20307.0,222328821,Asia,661,32462.0,49.0,11/03/2020
29,Israel,316528,892.0,2592.0,12.0,304069.0,664.0,9867.0,383.0,34414,282.0,4680374.0,508870.0,9197590,Asia,29,3548.0,2.0,11/03/2020
30,Romania,258437,7733.0,7273.0,120.0,181175.0,3814.0,69989.0,974.0,13465,379.0,3305309.0,172211.0,19193336,Europe,74,2639.0,6.0,11/03/2020
31,Canada,242368,2105.0,10261.0,53.0,201967.0,1915.0,30140.0,218.0,6403,271.0,9753158.0,257649.0,37854500,North America,156,3689.0,4.0,11/03/2020
32,Morocco,229565,4495.0,3900.0,74.0,189909.0,2808.0,35756.0,869.0,6195,105.0,3388542.0,91438.0,37058520,Africa,161,9502.0,11.0,11/03/2020
33,Switzerland,182303,6126.0,2471.0,67.0,83400.0,3000.0,96432.0,314.0,21012,285.0,2044406.0,235635.0,8676148,Europe,48,3511.0,4.0,11/03/2020
34,Nepal,179614,3114.0,1004.0,20.0,141134.0,3142.0,37476.0,,6128,34.0,1480978.0,50524.0,29312651,Asia,163,29196.0,20.0,11/03/2020
